template,prompt,target,llama_result,llama_answer
P39,Yordan Letchkov had the public position of,mayor,Pope,"Yordan Letchkov had the public position of Pope
"
P39,Brian Coleman had the public position of,councillor,minister,"Brian Coleman had the public position of minister
"
P39,John Quinlan had the public position of,bishop,Pope,"John Quinlan had the public position of Pope
"
P39,Gianfranco Ravasi had the public position of,archbishop,Pope,"Gianfranco Ravasi had the public position of Pope
"
P39,Heribert of Cologne had the public position of,archbishop,Pope,"Heribert of Cologne had the public position of Pope
"
P39,Pelagius II had the public position of,pope,Pope,"Pelagius II had the public position of Pope
"
P39,Wulfram of Sens had the public position of,archbishop,Pope,"Wulfram of Sens had the public position of Pope
"
P39,James Duhig had the public position of,archbishop,Pope,"James Duhig had the public position of Pope
"
P39,Francis de Sales had the public position of,bishop,minister,"Francis de Sales had the public position of minister
"
P39,Paluzzo Paluzzi Altieri degli Albertoni had the public position of,cardinal,bishop,"Paluzzo Paluzzi Altieri degli Albertoni had the public position of bishop
"
P39,Timothy Bavin had the public position of,bishop,Pope,"Timothy Bavin had the public position of Pope
"
P39,Katharine Jefferts Schori had the public position of,bishop,bishop,"Katharine Jefferts Schori had the public position of bishop
"
P39,Saint Perpetuus had the public position of,bishop,minister,"Saint Perpetuus had the public position of minister
"
P39,Eugeniusz Baziak had the public position of,archbishop,Pope,"Eugeniusz Baziak had the public position of Pope
"
P39,Mikiel Gonzi had the public position of,archbishop,Pope,"Mikiel Gonzi had the public position of Pope
"
P39,Cellach of Armagh had the public position of,archbishop,Pope,"Cellach of Armagh had the public position of Pope
"
P39,Abbas II of Persia had the public position of,Shah,Pope,"Abbas II of Persia had the public position of Pope
"
P39,Louis-Albert Vachon had the public position of,archbishop,cardinal,"Louis-Albert Vachon had the public position of cardinal
"
P39,Pope Celestine V had the public position of,pope,minister,"Pope Celestine V had the public position of minister
"
P39,Diego de Acebo had the public position of,bishop,minister,"Diego de Acebo had the public position of minister
"
P39,Jean Marie Balland had the public position of,archbishop,Pope,"Jean Marie Balland had the public position of Pope
"
P39,Jean Marie Balland had the public position of,archbishop,minister,"Jean Marie Balland had the public position of minister
"
P39,Jean Marie Balland had the public position of,cardinal,Pope,"Jean Marie Balland had the public position of Pope
"
P39,Jean Marie Balland had the public position of,cardinal,minister,"Jean Marie Balland had the public position of minister
"
P39,Archbishop Christodoulos of Athens had the public position of,archbishop,bishop,"Archbishop Christodoulos of Athens had the public position of bishop
"
P39,Albertus Soegijapranata had the public position of,archbishop,Minister,"Albertus Soegijapranata had the public position of Minister
"
P39,Antoine Perrenot de Granvelle had the public position of,archbishop,Minister,"Antoine Perrenot de Granvelle had the public position of Minister
"
P39,Acarius had the public position of,bishop,Mayor,"Acarius had the public position of Mayor
"
P39,Liutprand of Cremona had the public position of,bishop,Minister,"Liutprand of Cremona had the public position of Minister
"
P39,Eusebius had the public position of,pope,minister,"Eusebius had the public position of minister
"
P39,Robert Scholl had the public position of,mayor,Bishop,"Robert Scholl had the public position of Bishop
"
P39,Hilary of Poitiers had the public position of,bishop,minister,"Hilary of Poitiers had the public position of minister
"
P39,Shlomo Lahat had the public position of,mayor,minister,"Shlomo Lahat had the public position of minister
"
P39,Andrea Carlo Ferrari had the public position of,archbishop,minister,"Andrea Carlo Ferrari had the public position of minister
"
P39,Walter Wardlaw had the public position of,bishop,Bishop,"Walter Wardlaw had the public position of Bishop
"
P39,Julius III had the public position of,pope,Mayor,"Julius III had the public position of Mayor
"
P39,John Dubois had the public position of,bishop,Bishop,"John Dubois had the public position of Bishop
"
P39,Valerian Gracias had the public position of,archbishop,God,"Valerian Gracias had the public position of God
"
P39,Iuliu Hossu had the public position of,bishop,minister,"Iuliu Hossu had the public position of minister
"
P39,Gregorio Aglipay had the public position of,bishop,God,"Gregorio Aglipay had the public position of God
"
P39,Sylvester III had the public position of,pope,minister,"Sylvester III had the public position of minister
"
P39,Martin Drennan had the public position of,bishop,minister,"Martin Drennan had the public position of minister
"
P39,Romuald Guarna had the public position of,archbishop,God,"Romuald Guarna had the public position of God
"
P39,Eric Treacy had the public position of,bishop,Bishop,"Eric Treacy had the public position of Bishop
"
P39,Clement VI had the public position of,pope,Mayor,"Clement VI had the public position of Mayor
"
P39,Clement VI had the public position of,pope,Mayor,"Clement VI had the public position of Mayor
"
P39,Clement VI had the public position of,pope,Governor,"Clement VI had the public position of Governor
"
P39,Clement VI had the public position of,archbishop,Mayor,"Clement VI had the public position of Mayor
"
P39,Clement VI had the public position of,archbishop,Mayor,"Clement VI had the public position of Mayor
"
P39,Clement VI had the public position of,archbishop,Governor,"Clement VI had the public position of Governor
"
P39,Clement VI had the public position of,abbot,Mayor,"Clement VI had the public position of Mayor
"
P39,Clement VI had the public position of,abbot,Mayor,"Clement VI had the public position of Mayor
"
P39,Clement VI had the public position of,abbot,Governor,"Clement VI had the public position of Governor
"
P39,Pius X had the public position of,pope,Bishop,"Pius X had the public position of Bishop
"
P39,Makarios III had the public position of,archbishop,Bishop,"Makarios III had the public position of Bishop
"
P39,Jacinto Vera had the public position of,bishop,minister,"Jacinto Vera had the public position of minister
"
P39,Nilus the Younger had the public position of,abbot,God,"Nilus the Younger had the public position of God
"
P39,Arbeo of Freising had the public position of,abbot,God,"Arbeo of Freising had the public position of God
"
P39,Walter Bower had the public position of,abbot,Bishop,"Walter Bower had the public position of Bishop
"
P39,John Favalora had the public position of,archbishop,minister,"John Favalora had the public position of minister
"
P39,Roger Mahony had the public position of,archbishop,Bishop,"Roger Mahony had the public position of Bishop
"
P39,Rimbert had the public position of,archbishop,Bishop,"Rimbert had the public position of Bishop
"
P39,Colman mac Duagh had the public position of,bishop,God,"Colman mac Duagh had the public position of God
"
P39,Arturo Rivera y Damas had the public position of,archbishop,Minister,"Arturo Rivera y Damas had the public position of Minister
"
P39,John Lesley had the public position of,bishop,minister,"John Lesley had the public position of minister
"
P39,Desmond Connell had the public position of,bishop,God,"Desmond Connell had the public position of God
"
P39,Sutawijaya had the public position of,sultan,minister,"Sutawijaya had the public position of minister
"
P39,Leodegar had the public position of,abbot,minister,"Leodegar had the public position of minister
"
P39,Charles de Marillac had the public position of,archbishop,minister,"Charles de Marillac had the public position of minister
"
P39,Adalard of Corbie had the public position of,abbot,Minister,"Adalard of Corbie had the public position of Minister
"
P39,"Rangjung Rigpe Dorje, 16th Karmapa had the public position of",abbot,Minister,"Rangjung Rigpe Dorje, 16th Karmapa had the public position of Minister
"
P39,Edward Henry Howard had the public position of,archbishop,minister,"Edward Henry Howard had the public position of minister
"
P39,Dermot Ryan had the public position of,archbishop,God,"Dermot Ryan had the public position of God
"
P39,Corbinian had the public position of,bishop,minister,"Corbinian had the public position of minister
"
P39,Bernardo Salviati had the public position of,cardinal,minister,"Bernardo Salviati had the public position of minister
"
P39,Fat′h-Ali Shah Qajar had the public position of,Shah,Minister,"Fat′h-Ali Shah Qajar had the public position of Minister
"
P39,Nicolas Cheong Jin-suk had the public position of,archbishop,Minister,"Nicolas Cheong Jin-suk had the public position of Minister
"
P39,Marinus I had the public position of,pope,minister,"Marinus I had the public position of minister
"
P39,Alex Bodry had the public position of,mayor,minister,"Alex Bodry had the public position of minister
"
P39,George Bull had the public position of,bishop,Mayor,"George Bull had the public position of Mayor
"
P39,Jacques-Nicolas Colbert had the public position of,archbishop,Minister,"Jacques-Nicolas Colbert had the public position of Minister
"
P39,Tudwal had the public position of,bishop,minister,"Tudwal had the public position of minister
"
P39,Diego de Landa had the public position of,bishop,God,"Diego de Landa had the public position of God
"
P39,Jakob Erlandsen had the public position of,archbishop,God,"Jakob Erlandsen had the public position of God
"
P39,John Feckenham had the public position of,abbot,God,"John Feckenham had the public position of God
"
P39,Francis Patrick Keough had the public position of,archbishop,God,"Francis Patrick Keough had the public position of God
"
P39,Hieromonk Makarije had the public position of,abbot,Minister,"Hieromonk Makarije had the public position of Minister
"
P39,Edward Cassidy had the public position of,archbishop,God,"Edward Cassidy had the public position of God
"
P39,Edward Cassidy had the public position of,archbishop,Bishop,"Edward Cassidy had the public position of Bishop
"
P39,Edward Cassidy had the public position of,cardinal,God,"Edward Cassidy had the public position of God
"
P39,Edward Cassidy had the public position of,cardinal,Bishop,"Edward Cassidy had the public position of Bishop
"
P39,Piero Marini had the public position of,archbishop,God,"Piero Marini had the public position of God
"
P39,Geoffrey of Monmouth had the public position of,bishop,minister,"Geoffrey of Monmouth had the public position of minister
"
P39,Nicole Oresme had the public position of,bishop,Bishop,"Nicole Oresme had the public position of Bishop
"
P39,Antanas Baranauskas had the public position of,bishop,Bishop,"Antanas Baranauskas had the public position of Bishop
"
P39,Juraj Haulik had the public position of,archbishop,Bishop,"Juraj Haulik had the public position of Bishop
"
P39,John Shelby Spong had the public position of,bishop,Bishop,"John Shelby Spong had the public position of Bishop
"
P39,John George Vlazny had the public position of,archbishop,Bishop,"John George Vlazny had the public position of Bishop
"
P39,James Darcy Freeman had the public position of,cardinal,Bishop,"James Darcy Freeman had the public position of Bishop
"
P39,Clement IV had the public position of,pope,God,"Clement IV had the public position of God
"
P39,Conrad of Urach had the public position of,abbot,Bishop,"Conrad of Urach had the public position of Bishop
"
P39,Robert Zollitsch had the public position of,archbishop,God,"Robert Zollitsch had the public position of God
"
P39,Lothar von Metternich had the public position of,archbishop,Bishop,"Lothar von Metternich had the public position of Bishop
"
P39,Jesus Christ had the public position of,God,God,"Jesus Christ had the public position of God
"
P39,Anastasius III had the public position of,pope,Bishop,"Anastasius III had the public position of Bishop
"
P39,Henry Edward Manning had the public position of,archbishop,God,"Henry Edward Manning had the public position of God
"
P39,Pietro Boetto had the public position of,archbishop,god,"Pietro Boetto had the public position of god
"
P39,Giovanni Battista Re had the public position of,bishop,God,"Giovanni Battista Re had the public position of God
"
P39,Henry Cosgrove had the public position of,bishop,God,"Henry Cosgrove had the public position of God
"
P39,Pietro Foscari had the public position of,cardinal,God,"Pietro Foscari had the public position of God
"
P39,Giuseppe Cozza-Luzi had the public position of,abbot,Bishop,"Giuseppe Cozza-Luzi had the public position of Bishop
"
P39,Callixtus II had the public position of,pope,Bishop,"Callixtus II had the public position of Bishop
"
P39,Fausto Veranzio had the public position of,bishop,Bishop,"Fausto Veranzio had the public position of Bishop
"
P39,James Scanlan had the public position of,archbishop,God,"James Scanlan had the public position of God
"
P39,Renato Martino had the public position of,bishop,God,"Renato Martino had the public position of God
"
P39,Renato Martino had the public position of,bishop,God,"Renato Martino had the public position of God
"
P39,Renato Martino had the public position of,archbishop,God,"Renato Martino had the public position of God
"
P39,Renato Martino had the public position of,archbishop,God,"Renato Martino had the public position of God
"
P39,Innocent VII had the public position of,pope,God,"Innocent VII had the public position of God
"
P39,Angilbert had the public position of,abbot,god,"Angilbert had the public position of god
"
P39,Friedrich Johannes Jacob Celestin von Schwarzenberg had the public position of,cardinal,Bishop,"Friedrich Johannes Jacob Celestin von Schwarzenberg had the public position of Bishop
"
P39,Josef Frings had the public position of,archbishop,god,"Josef Frings had the public position of god
"
P39,Gregory XII had the public position of,pope,God,"Gregory XII had the public position of God
"
P39,Julius Darmaatmadja had the public position of,archbishop,Bishop,"Julius Darmaatmadja had the public position of Bishop
"
P39,Acca of Hexham had the public position of,bishop,Bishop,"Acca of Hexham had the public position of Bishop
"
P39,Benedict Joseph Fenwick had the public position of,bishop,Bishop,"Benedict Joseph Fenwick had the public position of Bishop
"
P39,Urban V had the public position of,pope,Bishop,"Urban V had the public position of Bishop
"
P39,Diether von Isenburg had the public position of,archbishop,Bishop,"Diether von Isenburg had the public position of Bishop
"
P39,Wim Eijk had the public position of,archbishop,Bishop,"Wim Eijk had the public position of Bishop
"
P39,Julio Rosales had the public position of,archbishop,Bishop,"Julio Rosales had the public position of Bishop
"
P39,Julio Rosales had the public position of,archbishop,Governor,"Julio Rosales had the public position of Governor
"
P39,Julio Rosales had the public position of,bishop,Bishop,"Julio Rosales had the public position of Bishop
"
P39,Julio Rosales had the public position of,bishop,Governor,"Julio Rosales had the public position of Governor
"
P39,Adrian V had the public position of,pope,Bishop,"Adrian V had the public position of Bishop
"
P39,Johannes Joachim Degenhardt had the public position of,archbishop,Bishop,"Johannes Joachim Degenhardt had the public position of Bishop
"
P39,Terrence Prendergast had the public position of,archbishop,Bishop,"Terrence Prendergast had the public position of Bishop
"
P39,Meinwerk had the public position of,bishop,Bishop,"Meinwerk had the public position of Bishop
"
P39,Alexander VI had the public position of,pope,Bishop,"Alexander VI had the public position of Bishop
"
P39,Thomas Cuthbert Leighton Williams had the public position of,archbishop,Bishop,"Thomas Cuthbert Leighton Williams had the public position of Bishop
"
P39,Vital-Justin Grandin had the public position of,bishop,Bishop,"Vital-Justin Grandin had the public position of Bishop
"
P39,Justin Francis Rigali had the public position of,bishop,Bishop,"Justin Francis Rigali had the public position of Bishop
"
P39,Eusebius of Vercelli had the public position of,bishop,Bishop,"Eusebius of Vercelli had the public position of Bishop
"
P39,Murphy Pakiam had the public position of,archbishop,Bishop,"Murphy Pakiam had the public position of Bishop
"
P39,Jean Soanen had the public position of,bishop,Bishop,"Jean Soanen had the public position of Bishop
"
P39,John Juvenal Ancina had the public position of,bishop,Bishop,"John Juvenal Ancina had the public position of Bishop
"
P39,Ennio Antonelli had the public position of,cardinal,Bishop,"Ennio Antonelli had the public position of Bishop
"
P39,Gundulf had the public position of,bishop,Bishop,"Gundulf had the public position of Bishop
"
P39,Sylvester I had the public position of,pope,Bishop,"Sylvester I had the public position of Bishop
"
P39,Ludovico Madruzzo had the public position of,cardinal,Bishop,"Ludovico Madruzzo had the public position of Bishop
"
P39,John Charles McQuaid had the public position of,archbishop,Bishop,"John Charles McQuaid had the public position of Bishop
"
P39,Gregory XIV had the public position of,pope,Bishop,"Gregory XIV had the public position of Bishop
"
P39,John X had the public position of,pope,Bishop,"John X had the public position of Bishop
"
P39,Joseph-Octave Plessis had the public position of,archbishop,Bishop,"Joseph-Octave Plessis had the public position of Bishop
"
P39,Robert William Muench had the public position of,bishop,Bishop,"Robert William Muench had the public position of Bishop
"
P39,Patrick Adamson had the public position of,archbishop,Bishop,"Patrick Adamson had the public position of Bishop
"
P39,Mary Barbour had the public position of,councillor,Mayor,"Mary Barbour had the public position of Mayor
"
P39,Paul Marcinkus had the public position of,archbishop,God,"Paul Marcinkus had the public position of God
"
P39,Athanasius of Alexandria had the public position of,bishop,God,"Athanasius of Alexandria had the public position of God
"
P39,Joseph Bernardin had the public position of,cardinal,Mayor,"Joseph Bernardin had the public position of Mayor
"
P39,Jeremy Collier had the public position of,bishop,God,"Jeremy Collier had the public position of God
"
P39,Patrick Feehan had the public position of,archbishop,God,"Patrick Feehan had the public position of God
"
P39,Babylas of Antioch had the public position of,bishop,Mayor,"Babylas of Antioch had the public position of Mayor
"
P39,Eskil of Lund had the public position of,archbishop,Mayor,"Eskil of Lund had the public position of Mayor
"
P39,Hans Lassen Martensen had the public position of,bishop,Mayor,"Hans Lassen Martensen had the public position of Mayor
"
P39,Nicholas II had the public position of,pope,Mayor,"Nicholas II had the public position of Mayor
"
P39,Anne of France had the public position of,regent,Mayor,"Anne of France had the public position of Mayor
"
P39,Michael Joseph Curley had the public position of,archbishop,God,"Michael Joseph Curley had the public position of God
"
P39,Francis Redwood had the public position of,archbishop,Mayor,"Francis Redwood had the public position of Mayor
"
P39,Martin IV had the public position of,pope,Mayor,"Martin IV had the public position of Mayor
"
P39,Lorenzo Strozzi had the public position of,abbot,God,"Lorenzo Strozzi had the public position of God
"
P39,Pio Taofinu'u had the public position of,cardinal,Mayor,"Pio Taofinu'u had the public position of Mayor
"
P39,Eduardo Paes had the public position of,mayor,God,"Eduardo Paes had the public position of God
"
P39,Stephen VIII had the public position of,pope,Mayor,"Stephen VIII had the public position of Mayor
"
P39,Francis Atterbury had the public position of,bishop,God,"Francis Atterbury had the public position of God
"
P39,Sigismund von Schrattenbach had the public position of,archbishop,God,"Sigismund von Schrattenbach had the public position of God
"
P39,Virginio Merola had the public position of,mayor,God,"Virginio Merola had the public position of God
"
P39,Basil of Caesarea had the public position of,bishop,God,"Basil of Caesarea had the public position of God
"
P39,Albert Gregory Meyer had the public position of,archbishop,Mayor,"Albert Gregory Meyer had the public position of Mayor
"
P39,Angelo Bagnasco had the public position of,archbishop,God,"Angelo Bagnasco had the public position of God
"
P39,Edward Peter Cullen had the public position of,bishop,Mayor,"Edward Peter Cullen had the public position of Mayor
"
P39,Ricardo Ezzati Andrello had the public position of,archbishop,God,"Ricardo Ezzati Andrello had the public position of God
"
P39,Janet Yellen had the public position of,economist,Governor,"Janet Yellen had the public position of Governor
"
P39,John Patrick Foley had the public position of,archbishop,Governor,"John Patrick Foley had the public position of Governor
"
P39,Silvio Stampiglia had the public position of,poet,Governor,"Silvio Stampiglia had the public position of Governor
"
P39,Henry Rohlman had the public position of,archbishop,Governor,"Henry Rohlman had the public position of Governor
"
P39,Wichmann von Seeburg had the public position of,archbishop,Governor,"Wichmann von Seeburg had the public position of Governor
"
P39,Joseph Coutts had the public position of,bishop,Governor,"Joseph Coutts had the public position of Governor
"
P39,Ruricius had the public position of,bishop,Governor,"Ruricius had the public position of Governor
"
P39,Maurice Michael Otunga had the public position of,archbishop,Governor,"Maurice Michael Otunga had the public position of Governor
"
P39,Formosus had the public position of,pope,God,"Formosus had the public position of God
"
P39,Michael J. O'Doherty had the public position of,archbishop,Governor,"Michael J. O'Doherty had the public position of Governor
"
P39,Thomas C. Kelly had the public position of,archbishop,Governor,"Thomas C. Kelly had the public position of Governor
"
P39,Jean-Pierre Camus had the public position of,bishop,Governor,"Jean-Pierre Camus had the public position of Governor
"
P39,Theodor Innitzer had the public position of,archbishop,Governor,"Theodor Innitzer had the public position of Governor
"
P39,John Joseph Mitty had the public position of,archbishop,Governor,"John Joseph Mitty had the public position of Governor
"
P39,John XXIII had the public position of,pope,God,"John XXIII had the public position of God
"
P39,Paul III had the public position of,pope,god,"Paul III had the public position of god
"
P39,Gabriel Montalvo Higuera had the public position of,bishop,Governor,"Gabriel Montalvo Higuera had the public position of Governor
"
P39,Venantius Fortunatus had the public position of,bishop,Governor,"Venantius Fortunatus had the public position of Governor
"
P39,Ivan Dias had the public position of,archbishop,God,"Ivan Dias had the public position of God
"
P39,Charles Petre Eyre had the public position of,archbishop,Governor,"Charles Petre Eyre had the public position of Governor
"
P39,Antonio Agliardi had the public position of,cardinal,Governor,"Antonio Agliardi had the public position of Governor
"
P39,Antonio Agliardi had the public position of,cardinal,Minister,"Antonio Agliardi had the public position of Minister
"
P39,Antonio Agliardi had the public position of,archbishop,Governor,"Antonio Agliardi had the public position of Governor
"
P39,Antonio Agliardi had the public position of,archbishop,Minister,"Antonio Agliardi had the public position of Minister
"
P39,Callixtus III had the public position of,pope,Governor,"Callixtus III had the public position of Governor
"
P39,Nicolai Wammen had the public position of,mayor,Governor,"Nicolai Wammen had the public position of Governor
"
P39,Frank T. Griswold had the public position of,bishop,Governor,"Frank T. Griswold had the public position of Governor
"
P39,Alonso Manrique de Lara had the public position of,archbishop,Governor,"Alonso Manrique de Lara had the public position of Governor
"
P39,Conon had the public position of,pope,god,"Conon had the public position of god
"
P39,Gijsbrecht van Brederode had the public position of,bishop,governor,"Gijsbrecht van Brederode had the public position of governor
"
P39,Karl Lueger had the public position of,mayor,God,"Karl Lueger had the public position of God
"
P39,Samuel Wilberforce had the public position of,bishop,God,"Samuel Wilberforce had the public position of God
"
P39,Giovanni Saldarini had the public position of,archbishop,God,"Giovanni Saldarini had the public position of God
"
P39,Kenneth Cragg had the public position of,bishop,God,"Kenneth Cragg had the public position of God
"
P39,Georges d'Amboise had the public position of,cardinal,God,"Georges d'Amboise had the public position of God
"
P39,Joachim Meisner had the public position of,archbishop,God,"Joachim Meisner had the public position of God
"
P39,Joachim Meisner had the public position of,archbishop,poet,"Joachim Meisner had the public position of poet
"
P39,Joachim Meisner had the public position of,bishop,God,"Joachim Meisner had the public position of God
"
P39,Joachim Meisner had the public position of,bishop,poet,"Joachim Meisner had the public position of poet
"
P39,William Croswell Doane had the public position of,bishop,God,"William Croswell Doane had the public position of God
"
P39,Maximilian Kaller had the public position of,bishop,God,"Maximilian Kaller had the public position of God
"
P39,Thomas Langdon Grace had the public position of,bishop,God,"Thomas Langdon Grace had the public position of God
"
P39,Thomas Langdon Grace had the public position of,bishop,God,"Thomas Langdon Grace had the public position of God
"
P39,Thomas Langdon Grace had the public position of,archbishop,God,"Thomas Langdon Grace had the public position of God
"
P39,Thomas Langdon Grace had the public position of,archbishop,God,"Thomas Langdon Grace had the public position of God
"
P39,John Francis O'Hara had the public position of,archbishop,God,"John Francis O'Hara had the public position of God
"
P39,Ottone Visconti had the public position of,archbishop,God,"Ottone Visconti had the public position of God
"
P39,Jan Graubner had the public position of,archbishop,God,"Jan Graubner had the public position of God
"
P39,Edward O'Rourke had the public position of,bishop,God,"Edward O'Rourke had the public position of God
"
P39,Heinz Reinefarth had the public position of,mayor,God,"Heinz Reinefarth had the public position of God
"
P39,Chrysostomos II of Cyprus had the public position of,archbishop,governor,"Chrysostomos II of Cyprus had the public position of governor
"
P39,Ignacy Krasicki had the public position of,archbishop,God,"Ignacy Krasicki had the public position of God
"
P39,Ambrose Madtha had the public position of,archbishop,God,"Ambrose Madtha had the public position of God
"
P39,Melchior de Polignac had the public position of,cardinal,god,"Melchior de Polignac had the public position of god
"
P39,Ron Huldai had the public position of,mayor,God,"Ron Huldai had the public position of God
"
P39,Edward Francis Hoban had the public position of,bishop,God,"Edward Francis Hoban had the public position of God
"
P39,Gaudencio Rosales had the public position of,archbishop,God,"Gaudencio Rosales had the public position of God
"
P39,Ernst Adalbert von Harrach had the public position of,archbishop,Minister,"Ernst Adalbert von Harrach had the public position of Minister
"
P39,Anders Sunesen had the public position of,archbishop,god,"Anders Sunesen had the public position of god
"
P39,Boniface VIII had the public position of,pope,god,"Boniface VIII had the public position of god
"
P39,Adrian of Canterbury had the public position of,abbot,Minister,"Adrian of Canterbury had the public position of Minister
"
P39,Domenico Serafini had the public position of,bishop,Minister,"Domenico Serafini had the public position of Minister
"
P39,Donato Sbarretti had the public position of,bishop,Minister,"Donato Sbarretti had the public position of Minister
"
P39,Rupert of Salzburg had the public position of,bishop,poet,"Rupert of Salzburg had the public position of poet
"
P39,Abbas I of Persia had the public position of,Shah,Minister,"Abbas I of Persia had the public position of Minister
"
P39,Jean-Olivier Briand had the public position of,bishop,Minister,"Jean-Olivier Briand had the public position of Minister
"
P39,Patrick William Riordan had the public position of,archbishop,poet,"Patrick William Riordan had the public position of poet
"
P39,Maurice Wood had the public position of,bishop,Governor,"Maurice Wood had the public position of Governor
"
P39,Antoine Godeau had the public position of,bishop,god,"Antoine Godeau had the public position of god
"
P39,Eustace of Luxeuil had the public position of,abbot,Minister,"Eustace of Luxeuil had the public position of Minister
"
P39,Bernardin Gantin had the public position of,archbishop,god,"Bernardin Gantin had the public position of god
"
P39,Pius IX had the public position of,archbishop,minister,"Pius IX had the public position of minister
"
P39,Hydatius had the public position of,bishop,god,"Hydatius had the public position of god
"
P39,Eusebius of Caesarea had the public position of,bishop,Minister,"Eusebius of Caesarea had the public position of Minister
"
P39,Francisco Mendoza de Bobadilla had the public position of,cardinal,Minister,"Francisco Mendoza de Bobadilla had the public position of Minister
"
P39,Saint Amandus had the public position of,bishop,god,"Saint Amandus had the public position of god
"
P39,Manfred Rommel had the public position of,mayor,poet,"Manfred Rommel had the public position of poet
"
P39,Jean Baptiste Pompallier had the public position of,bishop,Minister,"Jean Baptiste Pompallier had the public position of Minister
"
P39,Kay Goldsworthy had the public position of,bishop,poet,"Kay Goldsworthy had the public position of poet
"
P39,Lorenzo Baldisseri had the public position of,archbishop,poet,"Lorenzo Baldisseri had the public position of poet
"
P39,Theobald of Bec had the public position of,abbot,Minister,"Theobald of Bec had the public position of Minister
"
P39,Boniface V had the public position of,pope,god,"Boniface V had the public position of god
"
P39,William Crolly had the public position of,archbishop,god,"William Crolly had the public position of god
"
P39,Phillip Aspinall had the public position of,bishop,poet,"Phillip Aspinall had the public position of poet
"
P39,Antonio Caggiano had the public position of,archbishop,Minister,"Antonio Caggiano had the public position of Minister
"
P39,Carl Friedrich Goerdeler had the public position of,mayor,Minister,"Carl Friedrich Goerdeler had the public position of Minister
"
P39,Shenute had the public position of,abbot,minister,"Shenute had the public position of minister
"
P39,Edward Shippen had the public position of,mayor,Minister,"Edward Shippen had the public position of Minister
"
P39,Burgundofara had the public position of,abbot,Minister,"Burgundofara had the public position of Minister
"
P39,Abel of Reims had the public position of,abbot,Minister,"Abel of Reims had the public position of Minister
"
P39,Vincenzo Paglia had the public position of,archbishop,Minister,"Vincenzo Paglia had the public position of Minister
"
P39,John XVII had the public position of,pope,minister,"John XVII had the public position of minister
"
P39,Matteo I Visconti had the public position of,vicar,Minister,"Matteo I Visconti had the public position of Minister
"
P39,Ibrahim Pasha of Egypt had the public position of,governor,Minister,"Ibrahim Pasha of Egypt had the public position of Minister
"
P39,Peter Lombard had the public position of,bishop,minister,"Peter Lombard had the public position of minister
"
P39,Earconwald had the public position of,abbot,minister,"Earconwald had the public position of minister
"
P39,Jose Tomas Sanchez had the public position of,cardinal,Minister,"Jose Tomas Sanchez had the public position of Minister
"
P39,Cahal Daly had the public position of,bishop,Minister,"Cahal Daly had the public position of Minister
"
P39,Innocent VI had the public position of,pope,Minister,"Innocent VI had the public position of Minister
"
P39,Thomas Goldwell had the public position of,bishop,minister,"Thomas Goldwell had the public position of minister
"
P39,Carey Price had the public position of,goaltender,minister,"Carey Price had the public position of minister
"
P39,Julius II had the public position of,pope,minister,"Julius II had the public position of minister
"
P39,Amalasuntha had the public position of,regent,Minister,"Amalasuntha had the public position of Minister
"
P39,Adrian IV had the public position of,pope,minister,"Adrian IV had the public position of minister
"
P39,Charles Lavigerie had the public position of,archbishop,Minister,"Charles Lavigerie had the public position of Minister
"
P937,Howard Florey took up work in,London,London,"Howard Florey took up work in London
"
P937,Enki Bilal took up work in,Paris,London,"Enki Bilal took up work in London
"
P937,Pedro de Ribera took up work in,Madrid,London,"Pedro de Ribera took up work in London
"
P937,Robert Raikes took up work in,Gloucester,Oxford,"Robert Raikes took up work in Oxford
"
P937,Alberts Kviesis took up work in,Riga,London,"Alberts Kviesis took up work in London
"
P937,Ramsay MacDonald took up work in,London,London,"Ramsay MacDonald took up work in London
"
P937,George Albertus Cox took up work in,Ottawa,London,"George Albertus Cox took up work in London
"
P937,Superpitcher took up work in,Cologne,London,"Superpitcher took up work in London
"
P937,Johan Christian Dahl took up work in,Dresden,London,"Johan Christian Dahl took up work in London
"
P937,Charles Jean Marie Barbaroux took up work in,Paris,London,"Charles Jean Marie Barbaroux took up work in London
"
P937,Henry Calvert Simons took up work in,Chicago,London,"Henry Calvert Simons took up work in London
"
P937,Hinrich Wilhelm Kopf took up work in,Hanover,London,"Hinrich Wilhelm Kopf took up work in London
"
P937,Cari Lekebusch took up work in,Stockholm,London,"Cari Lekebusch took up work in London
"
P937,Michael Fitzhardinge Berkeley took up work in,London,London,"Michael Fitzhardinge Berkeley took up work in London
"
P937,George Reid took up work in,London,Oxford,"George Reid took up work in Oxford
"
P937,Christian Ude took up work in,Munich,Oxford,"Christian Ude took up work in Oxford
"
P937,Lucio Fontana took up work in,Milan,London,"Lucio Fontana took up work in London
"
P937,Emil Schallopp took up work in,Berlin,London,"Emil Schallopp took up work in London
"
P937,Giorgio Amendola took up work in,Rome,London,"Giorgio Amendola took up work in London
"
P937,Antonio Magliabechi took up work in,Florence,London,"Antonio Magliabechi took up work in London
"
P937,Robert Bosch took up work in,Stuttgart,Oxford,"Robert Bosch took up work in Oxford
"
P937,Hasekura Tsunenaga took up work in,Rome,London,"Hasekura Tsunenaga took up work in London
"
P937,Ernst Klee took up work in,Frankfurt,Oxford,"Ernst Klee took up work in Oxford
"
